# timestamp tx ty tz qx qy qz qw
1741150183.635013103 353865.800381 4032296.029247 -0.000782 0.0 0.0 0.0 1.0
1741150183.735866785 353865.799835 4032296.027900 -0.000984 0.0 0.0 0.0 1.0
1741150183.836743355 353865.801234 4032296.027300 -0.001372 0.0 0.0 0.0 1.0
1741150183.836743355 353865.801234 4032296.027300 -0.001372 0.0 0.0 0.0 1.0
1741150184.038580894 353865.801787 4032296.026922 -0.001488 0.0 0.0 0.0 1.0
1741150184.139351606 353865.801731 4032296.025978 -0.000947 0.0 0.0 0.0 1.0
1741150184.240170002 353865.801305 4032296.026791 -0.002038 0.0 0.0 0.0 1.0
1741150184.240170002 353865.801305 4032296.026791 -0.002038 0.0 0.0 0.0 1.0
1741150184.441899061 353865.800539 4032296.027720 -0.003162 0.0 0.0 0.0 1.0
1741150184.542748928 353865.799958 4032296.026731 -0.001788 0.0 0.0 0.0 1.0
1741150184.643602371 353865.799672 4032296.026395 -0.001735 0.0 0.0 0.0 1.0
1741150184.744486332 353865.799795 4032296.026680 -0.002319 0.0 0.0 0.0 1.0
1741150184.744486332 353865.799795 4032296.026680 -0.002319 0.0 0.0 0.0 1.0
1741150184.946183205 353865.799393 4032296.025241 -0.002822 0.0 0.0 0.0 1.0
1741150184.946183205 353865.799393 4032296.025241 -0.002822 0.0 0.0 0.0 1.0
1741150185.147935390 353865.800399 4032296.025750 -0.003558 0.0 0.0 0.0 1.0
1741150185.248764992 353865.801176 4032296.025797 -0.002775 0.0 0.0 0.0 1.0
1741150185.248764992 353865.801176 4032296.025797 -0.002775 0.0 0.0 0.0 1.0
1741150185.450491428 353865.800772 4032296.024828 -0.002329 0.0 0.0 0.0 1.0
1741150185.551357508 353865.800947 4032296.025370 -0.002631 0.0 0.0 0.0 1.0
1741150185.652225733 353865.800709 4032296.026134 -0.002248 0.0 0.0 0.0 1.0
1741150185.652225733 353865.800709 4032296.026134 -0.002248 0.0 0.0 0.0 1.0
1741150185.853929520 353865.801269 4032296.026354 -0.002172 0.0 0.0 0.0 1.0
1741150185.954790592 353865.801384 4032296.026555 -0.002482 0.0 0.0 0.0 1.0
1741150185.954790592 353865.801384 4032296.026555 -0.002482 0.0 0.0 0.0 1.0
1741150186.156632900 353865.799912 4032296.026703 -0.001797 0.0 0.0 0.0 1.0
1741150186.257375956 353865.799604 4032296.027233 -0.001712 0.0 0.0 0.0 1.0
1741150186.358230591 353865.799900 4032296.027885 -0.001350 0.0 0.0 0.0 1.0
1741150186.459105492 353865.799443 4032296.027840 -0.001024 0.0 0.0 0.0 1.0
1741150186.559950829 353865.799463 4032296.027949 -0.000927 0.0 0.0 0.0 1.0
1741150186.660807610 353865.798975 4032296.028416 -0.001260 0.0 0.0 0.0 1.0
1741150186.761673212 353865.798597 4032296.028747 -0.000744 0.0 0.0 0.0 1.0
1741150186.761673212 353865.798597 4032296.028747 -0.000744 0.0 0.0 0.0 1.0
1741150186.963393211 353865.798676 4032296.029849 0.000509 0.0 0.0 0.0 1.0
1741150187.064267397 353865.799090 4032296.029891 -0.001267 0.0 0.0 0.0 1.0
1741150187.165159225 353865.798075 4032296.030037 -0.001846 0.0 0.0 0.0 1.0
1741150187.165159225 353865.798075 4032296.030037 -0.001846 0.0 0.0 0.0 1.0
1741150187.366829395 353865.798697 4032296.028381 -0.000977 0.0 0.0 0.0 1.0
1741150187.467710495 353865.800419 4032296.027051 -0.000708 0.0 0.0 0.0 1.0
1741150187.568547249 353865.800842 4032296.026376 -0.000658 0.0 0.0 0.0 1.0
1741150187.669423103 353865.800387 4032296.026338 -0.000837 0.0 0.0 0.0 1.0
1741150187.770277500 353865.800080 4032296.026169 -0.000546 0.0 0.0 0.0 1.0
1741150187.871155024 353865.799833 4032296.026711 -0.001364 0.0 0.0 0.0 1.0
1741150187.971993923 353865.799588 4032296.026667 -0.001241 0.0 0.0 0.0 1.0
1741150188.072872877 353865.799825 4032296.026590 -0.001117 0.0 0.0 0.0 1.0
1741150188.173754215 353865.799796 4032296.026070 -0.001327 0.0 0.0 0.0 1.0
1741150188.274577141 353865.799840 4032296.026106 -0.001995 0.0 0.0 0.0 1.0
1741150188.375446320 353865.799965 4032296.026289 -0.002202 0.0 0.0 0.0 1.0
1741150188.476294279 353865.800576 4032296.025694 -0.002121 0.0 0.0 0.0 1.0
1741150188.577156544 353865.801004 4032296.025003 -0.002292 0.0 0.0 0.0 1.0
1741150188.678011894 353865.800489 4032296.024206 -0.003224 0.0 0.0 0.0 1.0
1741150188.778875828 353865.800235 4032296.024064 -0.003466 0.0 0.0 0.0 1.0
1741150188.879733562 353865.800132 4032296.024627 -0.004051 0.0 0.0 0.0 1.0
1741150188.980587244 353865.800430 4032296.025178 -0.004064 0.0 0.0 0.0 1.0
1741150189.081450462 353865.800194 4032296.024403 -0.005429 0.0 0.0 0.0 1.0
1741150189.182368755 353865.800462 4032296.023039 -0.003630 0.0 0.0 0.0 1.0
1741150189.283191681 353865.799956 4032296.023717 -0.003760 0.0 0.0 0.0 1.0
1741150189.384039402 353865.799857 4032296.023697 -0.004159 0.0 0.0 0.0 1.0
1741150189.484896421 353865.801016 4032296.024682 -0.003226 0.0 0.0 0.0 1.0
1741150189.585742712 353865.802281 4032296.024562 -0.002885 0.0 0.0 0.0 1.0
1741150189.686604977 353865.801352 4032296.025518 -0.003420 0.0 0.0 0.0 1.0
1741150189.787486315 353865.801264 4032296.025712 -0.003444 0.0 0.0 0.0 1.0
1741150189.888333321 353865.801855 4032296.026436 -0.002736 0.0 0.0 0.0 1.0
1741150189.989199162 353865.801862 4032296.027459 -0.002682 0.0 0.0 0.0 1.0
1741150190.090053082 353865.802648 4032296.028102 -0.002229 0.0 0.0 0.0 1.0
1741150190.190979481 353865.802569 4032296.027185 -0.001861 0.0 0.0 0.0 1.0
1741150190.291776180 353865.802730 4032296.026963 -0.001926 0.0 0.0 0.0 1.0
1741150190.392647266 353865.802423 4032296.027312 -0.001964 0.0 0.0 0.0 1.0
1741150190.493515015 353865.802026 4032296.027013 -0.001556 0.0 0.0 0.0 1.0
1741150190.594366550 353865.801586 4032296.027133 -0.002019 0.0 0.0 0.0 1.0
1741150190.695232153 353865.801970 4032296.027359 -0.002176 0.0 0.0 0.0 1.0
